,instance_id,gesture_id,country,highest-level UNGeoScheme,lowest-level UNGeoScheme,Inglehart–Welzel cluster,user_id,meaning,offensive_usage_scenarios,non_offensive_usage_scenarios,offensiveness_score,confidence_score,unsure_explanation
0,ID_Aus_1,Thumbs up,Australia,Oceania,Australia and New Zealand,English Speaking,65de2a1342c20fb64960dd2b,"All good, message received, approval.","If used sarcastically or inappropriately (e.g., Trump at Arlington Cemetary) it could be interpreted as ill-informed or offensive.",It's largely not at all offensive in Australia.,Not Offensive/Appropriate/No Meaning,5,
1,ID_Aus_1,Thumbs up,Australia,Oceania,Australia and New Zealand,English Speaking,646f6c568e6ce589a788a1da,"It normally implies ""success"", or ""that's good"".","It would be considered offensive if there is an upward motion of the hand, where it could mean ""up yours"".","If would be considered not offensive if there is no upward motion of the hand, where it would mean ""success"" or ""that's good"".",free_response,4,
2,ID_Aus_1,Thumbs up,Australia,Oceania,Australia and New Zealand,English Speaking,66abed6754a211bfec5108f8,"It's a way to just say yes, all good, or I'm fine",,"In a loud environment it can be used to give someone a quick answer, or if you are asked an easy question it's a fast ""yes""",Not Offensive/Appropriate/No Meaning,5,
3,ID_Aus_1,Thumbs up,Australia,Oceania,Australia and New Zealand,English Speaking,6675e405beeb415d60578306,"Generally, this gesture is used to mean something along the lines of ""good job"" or ""well done"", or it could be used as an agreement. If people in Australia saw someone using it I think it would be interpreted positively.",,"If you suggest going somewhere or doing something to somebody and they respond with a thumbs up, this would just be agreement/they approve and accept your idea. Or, commonly it is used to congratulate someone for something they did or express excitement/approval for something.",Not Offensive/Appropriate/No Meaning,4,
4,ID_Aus_1,Thumbs up,Australia,Oceania,Australia and New Zealand,English Speaking,659d89b9d816e89ba953f4a9,Indicates that things are 'good' or someone has done a 'good job',,"In Australia, this gesture can be widely used without causing offence",Not Offensive/Appropriate/No Meaning,4,
5,ID_Aus_2,V sign,Australia,Oceania,Australia and New Zealand,English Speaking,65de2a1342c20fb64960dd2b,"Palm facing in used to be very offensive, now, especially when it's performed with both hands it can be affectionately funny.
Palm facing out, it's understood to be a 'peace' sign, or 'victory' sign, depending on the context in which it's used.","If it's used in anger, with one hand, in a conflict situation. Tends to be read as offensive by older people.","If the palm is turned outwards, or if the action is carried out with both hands, palm facing inwards, tends to be used for humourous effect.",free_response,2,
6,ID_Aus_2,V sign,Australia,Oceania,Australia and New Zealand,English Speaking,646f6c568e6ce589a788a1da,"If palm is facing inwards it means ""up yours""; if palm is facing outwards it means ""peace"", or may simply mean ""two"".",It is offensive if palm is facing inwards.,It is not offensive or even positive if palm is facing outwards.,free_response,4,
7,ID_Aus_2,V sign,Australia,Oceania,Australia and New Zealand,English Speaking,66abed6754a211bfec5108f8,As peace,,"It's thrown up in photos to give you something to pose, or as a quick farewell pose",Not Offensive/Appropriate/No Meaning,3,
8,ID_Aus_2,V sign,Australia,Oceania,Australia and New Zealand,English Speaking,6675e405beeb415d60578306,"I think with palms out it would be fine, a simple peace sign but with palms facing in I believe there could still be that association with the middle finger.","With the palm facing in and shown to the older generations, say 40+ years. There is a big difference in this sign according to which way your palm is facing.",,Rude/Impolite/Inappropriate/Disrespectful,3,
9,ID_Aus_2,V sign,Australia,Oceania,Australia and New Zealand,English Speaking,659d89b9d816e89ba953f4a9,"This gesture has different meanings depending on which way the palm of the hand is facing. Facing away from the body means 'peace', and facing towards means 'up yours' or 'up your ass'",This gesture can be used to insult others in any setting,,Rude/Impolite/Inappropriate/Disrespectful,4,
